Name,Continent,Length,Width,Area,Discharge,Precipitation,Wet days,Temperature,Elevation,Longitude,Latitude
Amazon,South America,6400,3335,6112000,209000,2472,241,26.5,72,-63.532958984375,-3.84490325313088
Congo,Africa,4370,1917,4014500,41200,1597,121,24.9,414,17.650390625,-0.6461727843808802
Ganges-Brahmaputra,Asia,2704,1969,1731334,38129,2135,96,16.5,1550,91.6923828125,26.17194244999412
Orinoco,South America,2250,702,989000,37740,2114,163,25.7,373,-64.8203125,7.666522528119117
Guainia,South America,2230,1200,691000,35943,2787,232,26.7,103,-65.50932617187499,-0.2879208312558887
Madeira,South America,1450,1321,1376000,31200,2264,215,26.5,87,-62.37939453125,-6.74700286250588
Yangtze,Asia,6300,1358,1808500,30146,1302,128,15.6,114,116.89267578125,30.42328522343162
Brahmaputra,Asia,2937,355,651334,19824,1205,123,3.1,4105,94.99755859375,29.13043854374412
Yenisei,Asia,3438,1832,2580000,19800,537,223,-7.1,145,87.81728515625002,64.87843659061912
Parana,South America,4880,2324,2582672,19706,1537,106,22.5,271,-54.12998046874999,-24.04378020625589
Ganga,Asia,2600,480,1125000,18691,1289,60,22.6,525,85.29931640625,25.54601471561912
Mississippi,North America,3766,795,3248000,18434,1340,108,16.3,82,-91.09936523437493,33.14967682499424
Lena,Asia,4294,1111,2490000,17067,338,165,-9.5,368,119.2890625,60.17951080936912
Saint Lawrence,North America,3058,1936,1344200,16800,912,155,4.2,243,-75.27099609375017,44.864032293744
Maranon,South America,1737,139,358000,16708,1646,160,21.0,1248,-76.40771484375,-4.93767669063088
Mekong,Asia,4023,703,811000,16000,1709,142,25.3,381,105.851318359375,14.47780182499412
Irrawaddy,Asia,2210,883,411000,15112,2912,142,26.4,134,95.20566406250003,17.01666901249412
Ucayali,South America,2670,672,351549,13385,1777,163,20.6,1368,-74.16455078125,-9.587920831255886
Ob,Asia,3697,760,2990000,12692,497,185,-5.5,117,66.04677734375002,64.12843659061912
Tocantins,South America,2699,735,764183,11796,2222,258,26.9,91,-49.654296875,-4.171905206255886
Amur,Asia,4352,1087,1855000,11330,478,127,-4.7,546,125.646240234375,52.88512604374412
Kasai,Africa,2272,432,881890,11318,1534,112,24.3,653,20.580322265625,-6.017608331255886
Purus,South America,3211,291,371042,10970,2219,199,25.8,147,-66.333984375,-7.493682550005886
Mackenzie,North America,1738,1434,1790000,10338,299,105,-7.5,220,-125.975390625,64.9254092468691
Xingu,South America,2240,989,531250,9680,2090,210,25.8,197,-52.37529296874999,-6.366534112505889
Pearl,Asia,2400,702,437000,9500,1726,169,20.0,317,112.50107421875,23.06408112186912
Madre de Dios,South America,1347,539,282000,9350,2288,126,24.6,518,-68.39030761718749,-12.24260833125588
Putumayo,South America,1813,645,148000,8520,2968,241,24.7,400,-73.18701171875,-1.79949309688088
Volga,Europe,3531,1407,1380000,8220,500,165,4.8,126,44.60634765625002,56.06171295780662
Mamore,South America,1930,281,611800,8150,1708,108,26.3,148,-65.19609374999999,-13.82454192500589
Ohio,North America,1579,498,490601,7957,1106,134,11.0,259,-84.80625000000002,38.79486725468158
Guaviare,South America,1497,456,140000,7529,2710,200,25.4,494,-70.75375976562499,2.99591705936912
Columbia,North America,2044,786,668217,7504,755,145,4.0,1219,-119.0872558593749,48.13146393436912
Fly,Oceania,1060,228,76000,7500,3392,201,26.2,176,141.1796875,-7.13054778438088
Magdalena,South America,1540,270,257438,7200,1870,156,23.2,936,-74.54736328125,6.26264069218162
Uruguay,South America,1838,645,353451,7058,1579,139,19.0,323,-55.03037109374999,-27.85076262813088
Sepik,Oceania,1146,351,80321,7000,3276,228,25.5,525,142.48125,-4.231963800005886
Salween,Asia,2815,184,320000,6600,1113,144,10.4,2784,98.894775390625,25.47125885624412
Danube,Europe,2860,550,801463,6546,577,132,9.9,261,22.483154296875,44.72423737186912
Yukon,North America,3187,685,854696,6428,300,112,-6.0,448,-151.1855468749999,65.29120514530675
Araguaia,South America,2627,951,377000,6420,1738,164,25.6,305,-50.66215820312499,-11.24407317500588
Ubangi,Africa,2272,1371,651915,5936,1684,130,25.1,374,18.07314453125002,1.57245514530662
