,river,length_km,drainage_area,average_discharge 
0,Amazon,6400,6112000,209000
1,Congo (Zaire),4370,4014500,41200
2,Ganges-Brahmaputra/Meghna,2704,1731334,38129
3,Orinoco,2250,989000,37740
4,Guainía/Negro,2230,691000,35943
5,Madeira,1450,1376000,31200
6,Yangtze,6300,1808500,30146
7,Río de la Plata,290,3182064,27225
8,Brahmaputra,2937,651334,19824
9,Yenisei,3438,2580000,19800
10,Paraná,4880,2582672,19706
11,Ganga (Ganges),2600,1125000,18691
12,Mississippi,3766,3248000,18434
13,Japurá (Caquetá),2036,267730,18122
14,Lena,4294,2490000,17067
15,Saint Lawrence,3058,1344200,16800
16,Marañón,1737,358000,16708
17,Mekong,4023,811000,16000
18,Irrawaddy (Ayeyarwady),2210,411000,15112
19,Tapajós,840,492481,13540
20,Ucayali,2670,351549,13385
21,Ob,3697,2990000,12692
22,Tocantins,2699,764183,11796
23,Amur,4352,1855000,11330
24,Kasai (Kwa),2272,881890,11318
25,Purus,3211,371042,10970
26,Mackenzie,1738,1790000,10338
27,Xingu,2240,531250,9680
28,Pearl (Xi),2400,437000,9500
29,Madre de Dios,1347,282000,9350
30,Putumayo (Içá),1813,148000,8520
31,Volga,3531,1380000,8220
32,Mamoré,1930,611800,8150
33,Ohio,1579,490601,7957
34,Guaviare,1497,140000,7529
35,Columbia,2044,668217,7504
36,Fly,1060,76000,7500
37,Magdalena,1540,257438,7200
38,Uruguay,1838,353451,7058
39,Sepik,1146,80321,7000
40,Napo,1075,100518,6660
41,Salween,2815,320000,6600
42,Danube,2860,801463,6546
43,Kapuas,1143,98749,6500
44,Yukon,3187,854696,6428
45,Araguaia,2627,377000,6420
46,Juruá,3283,186000,6004
47,Ubangi (Oubangui),2272,651915,5936
48,Meta,1200,93800,5694
49,Essequibo,1014,150769,5650
50,Niger,4167,2090000,5589
51,Indus,3180,1081718,5533
52,Mamberamo,1175,78992,5500
53,Barito,1090,81675,5497
54,Aldan,2273,729000,5489
55,Branco,775,195000,5400
56,Detroit,44,1800,5300
57,Mahakam,980,77095,5000
58,Caroní,952,95000,4981
59,Ogooué (Ogowe),1200,223856,4935
60,Paraguay,2621,1120154,4696
61,Chindwin,1207,114000,4636
62,Javari,1184,98366,4545
63,Pechora,1809,289532,4533
64,Angara,1779,1079000,4530
65,Ruki,1300,173790,4450
66,Red (Hong),1149,143600,4300
67,Zambezi,2574,1331000,4134
68,Kolyma,2129,644000,4130
69,Kama,1805,507000,4100
70,Apaporis,1370,54300,4092
71,Aripuanã,870,145000,4087
72,Vaupés/Uaupes,1050,67800,4040
73,Teles Pires,1638,141718,4000
74,Digul,853,45600,4000
75,Huallaga,1138,95000,3796
76,Nizhnyaya Tunguska,2989,473000,3697
77,Upper Meghna,1040,82000,3600
78,Caura,723,52000,3545
79,Godavari,1465,312812,3505
80,Fraser,1375,220000,3475
81,Jutai,1200,74000,3462
82,Northern Dvina,744,357052,3332
83,Khatanga,1636,364000,3320
84,Kikori,405,23309,3274
85,Inírida,1300,54000,3200
86,Ghaghara,1080,127950,2993
87,Irtysh,4248,1673470,2980
88,Yamuna,1376,366223,2949
89,São Francisco,2830,641000,2943
90,Rhine,1233,198735,2900
91,Beni,1100,131500,2875
92,Gan,599,103107,2861
93,Trombetas,1060,135239,2855
94,Min,735,133000,2850
95,Nile,6853,3400000,2830
96,Koksoak,137,133400,2800
97,Pastaza,740,41000,2770
98,Iriri,1300,130000,2745
99,Tigre,940,54200,2720
100,Kwango,1100,263500,2700
101,Yellow,5464,752000,2571
102,Atrato,750,36231,2569
103,Pyasina,818,182000,2550
104,Amu Darya,2400,534739,2525
105,Sankuru,1200,156000,2500
106,Tietê,1150,150000,2500
107,Koshi,729,69300,2500
108,Sangha,790,213400,2471
109,Songhua,1434,557180,2463
110,Neva,74,281000,2445
111,Missouri,3767,1371010,2445
112,Liard,1115,277100,2434
113,Guapore,1260,341000,2430
114,Rio Grande,1360,143000,2400
115,Nelson,2575,982900,2370
116,Cauca,1180,59840,2364
117,Yarí,620,31650,2360
118,Urubamba,724,60300,2330
119,Apure,1038,121400,2300
120,Krishna River,1400,258948,2213
121,Xiang,948,94721,2157
122,St. Marys,120,127700,2135
123,Jialing,1345,160000,2120
124,Mahanadi,858,141600,2119
125,Peace,1923,306000,2110
126,Olyokma,1436,210000,2110
127,San Juan,380,15000,2055
128,Hongshui,669,141674,2049
129,Gandaki,814,46300,2025
130,Ventuari,520,40000,2000
131,Vichada,580,25000,2000
132,Aruwimi,1030,116100,2000
